model,split,condition,sentence_id,is_grammatical,audio_path,ref,hyp,WER,CER,S,I,D,H
whisper_base,processed,env1,s01,1,./project\enhancement\raw\env1\s01.wav,I go to the University of Southern California,I go to the University of Southern California.,0.0,0.0,0,0,0,8
whisper_base,processed,env1,s02,1,./project\enhancement\raw\env1\s02.wav,I am taking a speech AI course,I am taking a speech AI course.,0.0,0.0,0,0,0,7
whisper_base,processed,env1,s03,1,./project\enhancement\raw\env1\s03.wav,I am taking a machine learning systems class,I am taking a machine learning systems class.,0.0,0.0,0,0,0,8
whisper_base,processed,env1,s04,1,./project\enhancement\raw\env1\s04.wav,I am taking an introduction to philosophy gen ed,I am taking an introduction to philosophy Gen Ed.,0.0,0.0,0,0,0,9
whisper_base,processed,env1,s05,1,./project\enhancement\raw\env1\s05.wav,I am doing a project on anti spoofing,I am doing a project on anti-spoofing.,0.0,0.0,0,0,0,8
whisper_base,processed,env1,s06,1,./project\enhancement\raw\env1\s06.wav,Computer architecure is one of my academic interests,Computer architecture is one of my academic interests.,0.125,0.019230769230769232,1,0,0,7
whisper_base,processed,env1,s07,1,./project\enhancement\raw\env1\s07.wav,My graduation will be in May of this year,My graduation will be in May of this year.,0.0,0.0,0,0,0,9
whisper_base,processed,env1,s08,0,./project\enhancement\raw\env1\s08.wav,Spider eye lamb population,"Spider, I, Lamb, Population.",0.25,0.11538461538461539,1,0,0,3
whisper_base,processed,env1,s09,0,./project\enhancement\raw\env1\s09.wav,Connor Bryce Jude Ryan Barclay,"Connor, Bryce, Jude, Ryan, Barclay.",0.0,0.0,0,0,0,5
whisper_base,processed,env1,s10,0,./project\enhancement\raw\env1\s10.wav,incompetent overpromise underdeliver,"incompetent, overpromise, underdeliver.",0.0,0.0,0,0,0,3
whisper_base,processed,env2,s01,1,./project\enhancement\raw\env2\s01.wav,I go to the University of Southern California,I go to the University of Southern California.,0.0,0.0,0,0,0,8
whisper_base,processed,env2,s02,1,./project\enhancement\raw\env2\s02.wav,I am taking a speech AI course,I am taking a speech AI course.,0.0,0.0,0,0,0,7
whisper_base,processed,env2,s03,1,./project\enhancement\raw\env2\s03.wav,I am taking a machine learning systems class,I am taking a machine learning systems class.,0.0,0.0,0,0,0,8
whisper_base,processed,env2,s04,1,./project\enhancement\raw\env2\s04.wav,I am taking an introduction to philosophy gen ed,I am taking an introduction to philosophy Gen Ed.,0.0,0.0,0,0,0,9
whisper_base,processed,env2,s05,1,./project\enhancement\raw\env2\s05.wav,I am doing a project on anti spoofing,I am doing a project on anti-spoofing.,0.0,0.0,0,0,0,8
